zipcode,province_city,province_city_eng,city_county,city_county_eng,eup_myeon,eup_myeon_eng,road_nm,road_nm_eng,short_zipcode
24900,강원특별자치도,Gangwon-do,속초시,Sokcho-si,,,해오름로,Haeoreum-ro,249
24552,강원특별자치도,Gangwon-do,양구군,Yanggu-gun,국토정중앙면,Guktojeongjungang-myeon,남동로,Namdong-ro,245
25006,강원특별자치도,Gangwon-do,양양군,Yangyang-gun,강현면,Ganghyeon-myeon,화채봉길,Hwachaebong-gil,250
26245,강원특별자치도,Gangwon-do,영월군,Yeongwol-gun,김삿갓면,Gimsatgat-myeon,강변로,Gangbyeon-ro,262
26333,강원특별자치도,Gangwon-do,원주시,Wonju-si,,,봉장길,Bongjang-gil,263
26448,강원특별자치도,Gangwon-do,원주시,Wonju-si,,,송림길,Songnim-gil,264
26505,강원특별자치도,Gangwon-do,원주시,Wonju-si,,,치악로,Chiak-ro,265
24656,강원특별자치도,Gangwon-do,인제군,Inje-gun,기린면,Girin-myeon,아래둔덕길,Araedundeok-gil,246
26155,강원특별자치도,Gangwon-do,정선군,Jeongseon-gun,고한읍,Gohan-eup,고토일길,Gotoil-gil,261
24046,강원특별자치도,Gangwon-do,철원군,Cheorwon-gun,갈말읍,Galmal-eup,북원로166번길,Bugwon-ro 166beon-gil,240
24262,강원특별자치도,Gangwon-do,춘천시,Chuncheon-si,,,교동길,Gyodong-gil,242
24359,강원특별자치도,Gangwon-do,춘천시,Chuncheon-si,,,공지로,Gongji-ro,243
24428,강원특별자치도,Gangwon-do,춘천시,Chuncheon-si,,,옛경춘로,Yetgyeongchun-ro,244
26053,강원특별자치도,Gangwon-do,태백시,Taebaek-si,,,금천1길,Geumcheon 1-gil,260
25339,강원특별자치도,Gangwon-do,평창군,Pyeongchang-gun,대관령면,Daegwallyeong-myeon,비안길,Bian-gil,253
25105,강원특별자치도,Gangwon-do,홍천군,Hongcheon-gun,남면,Nam-myeon,응아지길,Eungaji-gil,251
24139,강원특별자치도,Gangwon-do,화천군,Hwacheon-gun,간동면,Gandong-myeon,먼내길,Meonnae-gil,241
25259,강원특별자치도,Gangwon-do,횡성군,Hoengseong-gun,갑천면,Gapcheon-myeon,태기로구방5길,Taegi-ro gubang 5-gil,252
59222,전라남도,Jeollanam-do,강진군,Gangjin-gun,강진읍,Gangjin-eup,원교촌길,Wongyochon-gil,592
59532,전라남도,Jeollanam-do,고흥군,Goheung-gun,고흥읍,Goheung-eup,사동길,Sadong-gil,595
57516,전라남도,Jeollanam-do,곡성군,Gokseong-gun,겸면,Gyeom-myeon,심정길,Simjeong-gil,575
57736,전라남도,Jeollanam-do,광양시,Gwangyang-si,광양읍,Gwangyang-eup,매천로,Maecheon-ro,577
57803,전라남도,Jeollanam-do,광양시,Gwangyang-si,,,폭포사랑길,Pokposarang-gil,578
57628,전라남도,Jeollanam-do,구례군,Gurye-gun,간전면,Ganjeon-myeon,간문대평1길,Ganmundaepyeong 1-gil,576
58263,전라남도,Jeollanam-do,나주시,Naju-si,,,예향로,Yehyang-ro,582
58300,전라남도,Jeollanam-do,나주시,Naju-si,공산면,Gongsan-myeon,자미로,Jami-ro,583
57393,전라남도,Jeollanam-do,담양군,Damyang-gun,가사문학면,Gasamunhak-myeon,청계길,Cheonggye-gil,573
58754,전라남도,Jeollanam-do,목포시,Mokpo-si,,,해안로173번길,Haean-ro 173beon-gil,587
58600,전라남도,Jeollanam-do,목포시,Mokpo-si,,,대양산단로125번길,Daeyangsandan-ro 125beon-gil,586
58534,전라남도,Jeollanam-do,무안군,Muan-gun,망운면,Mangun-myeon,동목장길,Dongmokjang-gil,585
59412,전라남도,Jeollanam-do,보성군,Boseong-gun,겸백면,Gyeombaek-myeon,금곡길,Geumgok-gil,594
57923,전라남도,Jeollanam-do,순천시,Suncheon-si,,,중앙로,Jungang-ro,579
58026,전라남도,Jeollanam-do,순천시,Suncheon-si,,,교량1길,Gyoryang 1-gil,580
58850,전라남도,Jeollanam-do,신안군,Sinan-gun,도초면,Docho-myeon,난말길,Nanmal-gil,588
59766,전라남도,Jeollanam-do,여수시,Yeosu-si,,,대경도길,Daegyeongdo-gil,597
59618,전라남도,Jeollanam-do,여수시,Yeosu-si,,,상암로,Sangam-ro,596
57061,전라남도,Jeollanam-do,영광군,Yeonggwang-gun,군남면,Gunnam-myeon,남양길1길,Namyang-gil 1-gil,570
58408,전라남도,Jeollanam-do,영암군,Yeongam-gun,군서면,Gunseo-myeon,정자등길,Jeongjadeung-gil,584
59128,전라남도,Jeollanam-do,완도군,Wando-gun,고금면,Gogeum-myeon,가교길,Gagyo-gil,591
57249,전라남도,Jeollanam-do,장성군,Jangseong-gun,남면,Nam-myeon,황토단감로,Hwangtodangam-ro,572
59356,전라남도,Jeollanam-do,장흥군,Jangheung-gun,관산읍,Gwansan-eup,고마장환길,Gomajanghwan-gil,593
58909,전라남도,Jeollanam-do,진도군,Jindo-gun,고군면,Gogun-myeon,오일시2길,Oilsi 2-gil,589
57128,전라남도,Jeollanam-do,함평군,Hampyeong-gun,나산면,Nasan-myeon,구산원선길,Gusanwonseon-gil,571
59017,전라남도,Jeollanam-do,해남군,Haenam-gun,계곡면,Gyegok-myeon,가학길,Gahak-gil,590
58153,전라남도,Jeollanam-do,화순군,Hwasun-gun,능주면,Neungju-myeon,죽수길,Juksu-gil,581
32824,충청남도,Chungcheongnam-do,계룡시,Gyeryong-si,,,장안1길,Jangan 1-gil,328
32598,충청남도,Chungcheongnam-do,공주시,Gongju-si,,,검상고개길,Geomsanggogae-gil,325
32600,충청남도,Chungcheongnam-do,공주시,Gongju-si,,,검상안길,Geomsangan-gil,326
32721,충청남도,Chungcheongnam-do,금산군,Geumsan-gun,군북면,Gunbuk-myeon,시두물2길,Sidumul 2-gil,327
33019,충청남도,Chungcheongnam-do,논산시,Nonsan-si,가야곡면,Gayagok-myeon,가야로22번길,Gaya-ro 22beon-gil,330
32938,충청남도,Chungcheongnam-do,논산시,Nonsan-si,강경읍,Ganggyeong-eup,계백로208번길,Gyebaek-ro 208beon-gil,329
31790,충청남도,Chungcheongnam-do,당진시,Dangjin-si,고대면,Godae-myeon,안쟁이길,Anjaengi-gil,317
31807,충청남도,Chungcheongnam-do,당진시,Dangjin-si,면천면,Myeoncheon-myeon,한티길,Hanti-gil,318
33472,충청남도,Chungcheongnam-do,보령시,Boryeong-si,,,궁촌1길,Gungchon 1-gil,334
33500,충청남도,Chungcheongnam-do,보령시,Boryeong-si,남포면,Nampo-myeon,뒷골길,Dwitgol-gil,335
33189,충청남도,Chungcheongnam-do,부여군,Buyeo-gun,구룡면,Guryong-myeon,흥수로453번길,Heungsu-ro 453beon-gil,331
33208,충청남도,Chungcheongnam-do,부여군,Buyeo-gun,남면,Nam-myeon,팔충로,Palchung-ro,332
31963,충청남도,Chungcheongnam-do,서산시,Seosan-si,,,충의로,Chungui-ro,319
32027,충청남도,Chungcheongnam-do,서산시,Seosan-si,고북면,Gobuk-myeon,도간길,Dogan-gil,320
33626,충청남도,Chungcheongnam-do,서천군,Seocheon-gun,기산면,Gisan-myeon,서원로226번길,Seowon-ro 226beon-gil,336
31519,충청남도,Chungcheongnam-do,아산시,Asan-si,,,청운로,Cheongun-ro,315
31476,충청남도,Chungcheongnam-do,아산시,Asan-si,,,온천대로1770번길,Oncheon-daero 1770beon-gil,314
32402,충청남도,Chungcheongnam-do,예산군,Yesan-gun,고덕면,Godeok-myeon,구만중뜸길,Gumanjungtteum-gil,324
31220,충청남도,Chungcheongnam-do,천안시,"Dongnam-gu, Cheonan-si",광덕면,Gwangdeok-myeon,안심대전원길,Ansimdaejeonwon-gil,312
31069,충청남도,Chungcheongnam-do,천안시,"Dongnam-gu, Cheonan-si",,,유량로,Yuryang-ro,310
31194,충청남도,Chungcheongnam-do,천안시,"Dongnam-gu, Cheonan-si",,,충절로,Chungjeol-ro,311
33309,충청남도,Chungcheongnam-do,청양군,Cheongyang-gun,남양면,Namyang-myeon,구용길,Guyong-gil,333
32172,충청남도,Chungcheongnam-do,태안군,Taean-gun,고남면,Gonam-myeon,옷점길,Otjeom-gil,321
32201,충청남도,Chungcheongnam-do,홍성군,Hongseong-gun,갈산면,Galsan-myeon,수덕사로317번길,Sudeoksa-ro 317beon-gil,322
12410,경기도,Gyeonggi-do,가평군,Gapyeong-gun,가평읍,Gapyeong-eup,당목가일길,Dangmokgail-gil,124
10441,경기도,Gyeonggi-do,고양시,"Deogyang-gu, Goyang-si",,,강매로,Gangmae-ro,104
10540,경기도,Gyeonggi-do,고양시,"Deogyang-gu, Goyang-si",,,해포길,Haepo-gil,105
10273,경기도,Gyeonggi-do,고양시,"Deogyang-gu, Goyang-si",,,읍내로,Eumnae-ro,102
10314,경기도,Gyeonggi-do,고양시,"Ilsandong-gu, Goyang-si",,,성현로,Seonghyeon-ro,103
13840,경기도,Gyeonggi-do,과천시,Gwacheon-si,,,김영철길,Gimyeongcheol-gil,138
14339,경기도,Gyeonggi-do,광명시,Gwangmyeong-si,,,서독로,Seodok-ro,143
14268,경기도,Gyeonggi-do,광명시,Gwangmyeong-si,,,오리로963번길,Ori-ro 963beon-gil,142
12752,경기도,Gyeonggi-do,광주시,Gwangju-si,,,과수원길25번길,Gwasuwon-gil 25beon-gil,127
12812,경기도,Gyeonggi-do,광주시,Gwangju-si,곤지암읍,Gonjiam-eup,경충대로,Gyeongchung-daero,128
11902,경기도,Gyeonggi-do,구리시,Guri-si,,,경춘북로,Gyeongchunbuk-ro,119
15811,경기도,Gyeonggi-do,군포시,Gunpo-si,,,당산로192번길,Dangsan-ro 192beon-gil,158
10103,경기도,Gyeonggi-do,김포시,Gimpo-si,,,옹주물로,Ongjumul-ro,101
10091,경기도,Gyeonggi-do,김포시,Gimpo-si,,,옹주물로,Ongjumul-ro,100
12240,경기도,Gyeonggi-do,남양주시,Namyangju-si,,,석실로650번길,Seoksil-ro 650beon-gil,122
12091,경기도,Gyeonggi-do,남양주시,Namyangju-si,,,순화궁로,Sunhwagung-ro,120
12105,경기도,Gyeonggi-do,남양주시,Namyangju-si,,,두물로11번길,Dumul-ro 11beon-gil,121
11309,경기도,Gyeonggi-do,동두천시,Dongducheon-si,,,못골로134번길,Motgol-ro 134beon-gil,113
14775,경기도,Gyeonggi-do,부천시,Bucheon-si,,,범안로186번나길,Beoman-ro 186beonna-gil,147
14403,경기도,Gyeonggi-do,부천시,Bucheon-si,,,역곡로,Yeokgok-ro,144
14682,경기도,Gyeonggi-do,부천시,Bucheon-si,,,경인로,Gyeongin-ro,146
14519,경기도,Gyeonggi-do,부천시,Bucheon-si,,,옥산로251번길,Oksan-ro 251beon-gil,145
13630,경기도,Gyeonggi-do,성남시,"Bundang-gu, Seongnam-si",,,미금일로,Migeumil-ro,136
13550,경기도,Gyeonggi-do,성남시,"Bundang-gu, Seongnam-si",,,대왕판교로,Daewangpangyo-ro,135
13487,경기도,Gyeonggi-do,성남시,"Bundang-gu, Seongnam-si",,,판교로228번길,Pangyo-ro 228beon-gil,134
13381,경기도,Gyeonggi-do,성남시,"Bundang-gu, Seongnam-si",,,양현로375번길,Yanghyeon-ro 375beon-gil,133
13105,경기도,Gyeonggi-do,성남시,"Sujeong-gu, Seongnam-si",,,고등로,Godeung-ro,131
13259,경기도,Gyeonggi-do,성남시,"Sujeong-gu, Seongnam-si",,,공원로,Gongwon-ro,132
16649,경기도,Gyeonggi-do,수원시,"Gwonseon-gu, Suwon-si",,,고산로16번길,Gosan-ro 16beon-gil,166
16406,경기도,Gyeonggi-do,수원시,"Gwonseon-gu, Suwon-si",,,구운로85번길,Guun-ro 85beon-gil,164
16371,경기도,Gyeonggi-do,수원시,"Gwonseon-gu, Suwon-si",,,서부로,Seobu-ro,163
16569,경기도,Gyeonggi-do,수원시,"Gwonseon-gu, Suwon-si",,,세지로112번길,Seji-ro 112beon-gil,165
16714,경기도,Gyeonggi-do,수원시,"Yeongtong-gu, Suwon-si",,,덕영대로1368번길,Deogyeong-daero 1368beon-gil,167
16226,경기도,Gyeonggi-do,수원시,"Yeongtong-gu, Suwon-si",,,대학1로8번길,Daehak 1-ro 8beon-gil,162
15068,경기도,Gyeonggi-do,시흥시,Siheung-si,,,군자로481번길,Gunja-ro 481beon-gil,150
14924,경기도,Gyeonggi-do,시흥시,Siheung-si,,,계수로,Gyesu-ro,149
15121,경기도,Gyeonggi-do,시흥시,Siheung-si,,,장현천로,Janghyeoncheon-ro,151
15261,경기도,Gyeonggi-do,안산시,"Danwon-gu, Ansan-si",,,예술대학로3길,YesuldaehaK-ro 3-gil,152
15465,경기도,Gyeonggi-do,안산시,"Danwon-gu, Ansan-si",,,이삭3길,Isak 3-gil,154
15352,경기도,Gyeonggi-do,안산시,"Danwon-gu, Ansan-si",,,고잔로,Gojan-ro,153
15649,경기도,Gyeonggi-do,안산시,"Danwon-gu, Ansan-si",,,수영목길,Suyeongmok-gil,156
15598,경기도,Gyeonggi-do,안산시,"Danwon-gu, Ansan-si",,,목내로122번길,Mongnae-ro 122beon-gil,155
17585,경기도,Gyeonggi-do,안성시,Anseong-si,,,보개원삼로,Bogaewonsam-ro,175
17604,경기도,Gyeonggi-do,안성시,Anseong-si,미양면,Miyang-myeon,양변길,Yangbyeon-gil,176
13928,경기도,Gyeonggi-do,안양시,"Dongan-gu, Anyang-si",,,동편로68번길,Dongpyeon-ro 68beon-gil,139
14055,경기도,Gyeonggi-do,안양시,"Dongan-gu, Anyang-si",,,시민대로327번길,Simin-daero 327beon-gil,140
14103,경기도,Gyeonggi-do,안양시,"Dongan-gu, Anyang-si",,,귀인로,Gwiin-ro,141
11457,경기도,Gyeonggi-do,양주시,Yangju-si,,,고원2다길,Gowon 2da-gil,114
11503,경기도,Gyeonggi-do,양주시,Yangju-si,광적면,Gwangjeok-myeon,부흥로,Buheung-ro,115
12572,경기도,Gyeonggi-do,양평군,Yangpyeong-gun,강상면,Gangsang-myeon,효자고갯길,Hyojagogaet-gil,125
12663,경기도,Gyeonggi-do,여주시,Yeoju-si,가남읍,Ganam-eup,건장2길,Geonjang 2-gil,126
11008,경기도,Gyeonggi-do,연천군,Yeoncheon-gun,군남면,Gunnam-myeon,남계로,Namgye-ro,110
18126,경기도,Gyeonggi-do,오산시,Osan-si,,,수목원로88번길,Sumogwon-ro 88beon-gil,181
17101,경기도,Gyeonggi-do,용인시,"Giheung-gu, Yongin-si",,,공세로,Gongse-ro,171
17086,경기도,Gyeonggi-do,용인시,"Giheung-gu, Yongin-si",,,고매로,Gomae-ro,170
16979,경기도,Gyeonggi-do,용인시,"Giheung-gu, Yongin-si",,,강남로,Gangnam-ro,169
16895,경기도,Gyeonggi-do,용인시,"Giheung-gu, Yongin-si",,,동백8로113번길,Dongbaek 8-ro 113beon-gil,168
16077,경기도,Gyeonggi-do,의왕시,Uiwang-si,,,고고리길,Gogori-gil,160
16103,경기도,Gyeonggi-do,의왕시,Uiwang-si,,,장안남북로,Jangannambuk-ro,161
11676,경기도,Gyeonggi-do,의정부시,Uijeongbu-si,,,신촌로17번길,Sinchon-ro 17beon-gil,116
11749,경기도,Gyeonggi-do,의정부시,Uijeongbu-si,,,호국로1351번길,Hoguk-ro 1351beon-gil,117
11801,경기도,Gyeonggi-do,의정부시,Uijeongbu-si,,,고산로65번길,Gosan-ro 65beon-gil,118
17361,경기도,Gyeonggi-do,이천시,Icheon-si,,,영창로300번길,Yeongchang-ro 300beon-gil,173
17400,경기도,Gyeonggi-do,이천시,Icheon-si,,,단월로60번길,Danwol-ro 60beon-gil,174
10848,경기도,Gyeonggi-do,파주시,Paju-si,,,평화로,Pyeonghwa-ro,108
10953,경기도,Gyeonggi-do,파주시,Paju-si,광탄면,Gwangtan-myeon,기산로,Gisan-ro,109
17743,경기도,Gyeonggi-do,평택시,Pyeongtaek-si,,,가재길,Gajae-gil,177
18017,경기도,Gyeonggi-do,평택시,Pyeongtaek-si,,,함박산2길,Hambaksan 2-gil,180
17924,경기도,Gyeonggi-do,평택시,Pyeongtaek-si,고덕면,Godeok-myeon,효학길,Hyohak-gil,179
17821,경기도,Gyeonggi-do,평택시,Pyeongtaek-si,고덕면,Godeok-myeon,서동대로,Seodong-daero,178
11168,경기도,Gyeonggi-do,포천시,Pocheon-si,가산면,Gasan-myeon,시우동2길,Siudong 2-gil,111
12991,경기도,Gyeonggi-do,하남시,Hanam-si,,,서하남로41번길,Seohanam-ro 41beon-gil,129
13005,경기도,Gyeonggi-do,하남시,Hanam-si,,,감일백제로,Gamilbaekje-ro,130
18511,경기도,Gyeonggi-do,화성시,Hwaseong-si,,,금곡로249번길,Geumgok-ro 249beon-gil,185
18385,경기도,Gyeonggi-do,화성시,Hwaseong-si,,,효행로,Hyohaeng-ro,183
18421,경기도,Gyeonggi-do,화성시,Hwaseong-si,,,효행로,Hyohaeng-ro,184
18258,경기도,Gyeonggi-do,화성시,Hwaseong-si,남양읍,Namyang-eup,남양시장로,Namyangsijang-ro,182
18632,경기도,Gyeonggi-do,화성시,Hwaseong-si,양감면,Yanggam-myeon,솔미마을길80번길,Solmimaeul-gil 80beon-gil,186
44782,울산광역시,Ulsan,남구,Nam-gu,,,신여천로,Sinyeocheon-ro,447
44691,울산광역시,Ulsan,남구,Nam-gu,,,중앙로166번길,Jungang-ro 166beon-gil,446
44007,울산광역시,Ulsan,동구,Dong-gu,,,미포4길,Mipo 4-gil,440
44114,울산광역시,Ulsan,동구,Dong-gu,,,방어진순환도로,Bangeojinsunhwando-ro,441
44211,울산광역시,Ulsan,북구,Buk-gu,,,농서로,Nongseo-ro,442
44915,울산광역시,Ulsan,울주군,Ulju-gun,두동면,Dudong-myeon,당산길,Dangsan-gil,449
45015,울산광역시,Ulsan,울주군,Ulju-gun,서생면,Seosaeng-myeon,해맞이로,Haemaji-ro,450
44428,울산광역시,Ulsan,중구,Jung-gu,,,종가로,Jongga-ro,444
44538,울산광역시,Ulsan,중구,Jung-gu,,,종가로,Jongga-ro,445
53286,경상남도,Gyeongsangnam-do,거제시,Geoje-si,거제면,Geoje-myeon,기성로2길,Giseong-ro 2-gil,532
53336,경상남도,Gyeongsangnam-do,거제시,Geoje-si,,,고현항2로,Gohyeonhang 2-ro,533
50117,경상남도,Gyeongsangnam-do,거창군,Geochang-gun,가북면,Gabuk-myeon,용암로,Yongam-ro,501
52902,경상남도,Gyeongsangnam-do,고성군,Goseong-gun,개천면,Gaecheon-myeon,가천1길,Gacheon 1-gil,529
50941,경상남도,Gyeongsangnam-do,김해시,Gimhae-si,,,강동로,Gangdong-ro,509
51009,경상남도,Gyeongsangnam-do,김해시,Gimhae-si,,,강동로,Gangdong-ro,510
50883,경상남도,Gyeongsangnam-do,김해시,Gimhae-si,,,김해대로1902번길,Gimhae-daero 1902beon-gil,508
52405,경상남도,Gyeongsangnam-do,남해군,Namhae-gun,고현면,Gohyeon-myeon,남서대로2980번길,Namseo-daero 2980beon-gil,524
50445,경상남도,Gyeongsangnam-do,밀양시,Miryang-si,,,중앙로,Jungang-ro,504
52501,경상남도,Gyeongsangnam-do,사천시,Sacheon-si,곤명면,Gonmyeong-myeon,금성1길,Geumseong 1-gil,525
52215,경상남도,Gyeongsangnam-do,산청군,Sancheong-gun,금서면,Geumseo-myeon,친환경로2605번길,Chinhwangyeong-ro 2605beon-gil,522
50593,경상남도,Gyeongsangnam-do,양산시,Yangsan-si,,,교동1길,Gyodong 1-gil,505
50623,경상남도,Gyeongsangnam-do,양산시,Yangsan-si,,,옥곡6길,Okgok 6-gil,506
52137,경상남도,Gyeongsangnam-do,의령군,Uiryeong-gun,가례면,Garye-myeon,의병로1길,Uibyeong-ro 1-gil,521
52822,경상남도,Gyeongsangnam-do,진주시,Jinju-si,,,가좌길36번길,Gajwa-gil 36beon-gil,528
52709,경상남도,Gyeongsangnam-do,진주시,Jinju-si,,,진주대로,Jinju-daero,527
52683,경상남도,Gyeongsangnam-do,진주시,Jinju-si,,,비봉로,Bibong-ro,526
50341,경상남도,Gyeongsangnam-do,창녕군,Changnyeong-gun,계성면,Gyeseong-myeon,계산우천길,Gyesanucheon-gil,503
51755,경상남도,Gyeongsangnam-do,창원시,"Masanhappo-gu, Changwon-si",,,가포로,Gapo-ro,517
51276,경상남도,Gyeongsangnam-do,창원시,"Masanhappo-gu, Changwon-si",,,교방동2길,Gyobangdong 2-gil,512
51337,경상남도,Gyeongsangnam-do,창원시,"Masanhappo-gu, Changwon-si",,,합포동7길,Happodong 7-gil,513
51492,경상남도,Gyeongsangnam-do,창원시,"Seongsan-gu, Changwon-si",,,대정로35번길,Daejeong-ro 35beon-gil,514
51510,경상남도,Gyeongsangnam-do,창원시,"Seongsan-gu, Changwon-si",,,가음정로23번길,Gaeumjeong-ro 23beon-gil,515
51148,경상남도,Gyeongsangnam-do,창원시,"Seongsan-gu, Changwon-si",,,창원천로,Changwoncheon-ro,511
51602,경상남도,Gyeongsangnam-do,창원시,"Jinhae-gu, Changwon-si",,,가주로,Gaju-ro,516
53012,경상남도,Gyeongsangnam-do,통영시,Tongyeong-si,광도면,Gwangdo-myeon,안정로,Anjeong-ro,530
53103,경상남도,Gyeongsangnam-do,통영시,Tongyeong-si,사량면,Saryang-myeon,상도일주로,Sangdoilju-ro,531
52340,경상남도,Gyeongsangnam-do,하동군,Hadong-gun,고전면,Gojeon-myeon,고하길,Goha-gil,523
52035,경상남도,Gyeongsangnam-do,함안군,Haman-gun,가야읍,Gaya-eup,왕궁2길,Wanggung 2-gil,520
50055,경상남도,Gyeongsangnam-do,함양군,Hamyang-gun,마천면,Macheon-myeon,가채길,Gachae-gil,500
50202,경상남도,Gyeongsangnam-do,합천군,Hapcheon-gun,가야면,Gaya-myeon,가천길,Gacheon-gil,502
06325,서울특별시,Seoul,강남구,Gangnam-gu,,,선릉로10길,Seolleung-ro 10-gil,063
06114,서울특별시,Seoul,강남구,Gangnam-gu,,,학동로2길,Hakdong-ro 2-gil,061
06044,서울특별시,Seoul,강남구,Gangnam-gu,,,학동로3길,Hakdong-ro 3-gil,060
06209,서울특별시,Seoul,강남구,Gangnam-gu,,,삼성로61길,Samseong-ro 61-gil,062
05200,서울특별시,Seoul,강동구,Gangdong-gu,,,가래여울길,Garaeyeoul-gil,052
05414,서울특별시,Seoul,강동구,Gangdong-gu,,,아리수로93다길,Arisu-ro 93da-gil,054
05355,서울특별시,Seoul,강동구,Gangdong-gu,,,천호대로173길,Cheonho-daero 173-gil,053
01180,서울특별시,Seoul,강북구,Gangbuk-gu,,,솔매로,Solmae-ro,011
01216,서울특별시,Seoul,강북구,Gangbuk-gu,,,오현로4길,Ohyeon-ro 4-gil,012
01057,서울특별시,Seoul,강북구,Gangbuk-gu,,,한천로132길,Hancheon-ro 132-gil,010
07526,서울특별시,Seoul,강서구,Gangseo-gu,,,양천로57길,Yangcheon-ro 57-gil,075
07800,서울특별시,Seoul,강서구,Gangseo-gu,,,공항대로,Gonghang-daero,078
07789,서울특별시,Seoul,강서구,Gangseo-gu,,,양천로,Yangcheon-ro,077
07625,서울특별시,Seoul,강서구,Gangseo-gu,,,방화대로7가길,Banghwa-daero 7ga-gil,076
08803,서울특별시,Seoul,관악구,Gwanak-gu,,,남부순환로256다길,Nambusunhwan-ro 256da-gil,088
08735,서울특별시,Seoul,관악구,Gwanak-gu,,,관악로24길,Gwanak-ro 24-gil,087
04968,서울특별시,Seoul,광진구,Gwangjin-gu,,,아차산로75길,Achasan-ro 75-gil,049
05036,서울특별시,Seoul,광진구,Gwangjin-gu,,,구의로4길,Guui-ro 4-gil,050
05117,서울특별시,Seoul,광진구,Gwangjin-gu,,,구의강변로,Guuigangbyeon-ro,051
08321,서울특별시,Seoul,구로구,Guro-gu,,,구로동로7가길,Gurodong-ro 7ga-gil,083
